date,oldTime,time_Combined,time_Unix,time,latitude,longitude,xcoord,ycoord,broadway,subway,male,race,perstop,age,frisked,searched,arstmade,sumissue,contrabn,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other
1/2/15,3:31,1/2/15 3:31,1420169460,99060,40.6121091,-73.9667815,993473,162286,0,0,1,White,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/2/15,3:31,1/2/15 3:31,1420169460,99060,40.6121091,-73.9667815,993473,162286,0,0,1,White,10,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/2/15,6:00,1/2/15 6:00,1420178400,108000,,,,,0,0,1,Hispanic,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,10:23,1/2/15 10:23,1420194180,123780,40.722018,-73.9772394,990559,202328,0,0,1,Hispanic,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,10:30,1/2/15 10:30,1420194600,124200,40.6760974,-74.0070156,982304,185597,0,0,1,Hispanic,5,57,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1/2/15,12:00,1/2/15 12:00,1420200000,129600,40.8915504,-73.8617895,1022463,264124,0,0,1,Black,2,18,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1/2/15,12:32,1/2/15 12:32,1420201920,131520,40.7153739,-73.771702,1047538,199989,0,0,0,Black,15,16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1/2/15,13:50,1/2/15 13:50,1420206600,136200,40.693041,-73.9244383,1005204,191779,0,0,1,Black,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,13:50,1/2/15 13:50,1420206600,136200,40.693041,-73.9244383,1005204,191779,0,0,1,Black,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,13:55,1/2/15 13:55,1420206900,136500,40.7302475,-73.8125921,1036191,205381,0,0,1,White,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,14:40,1/2/15 14:40,1420209600,139200,40.6441044,-73.9564273,996342,173944,0,0,0,Black,10,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,14:50,1/2/15 14:50,1420210200,139800,40.6420266,-73.9991748,984479,173184,0,0,1,Hispanic,10,32,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/2/15,16:01,1/2/15 16:01,1420214460,144060,40.8493982,-73.916999,1007213,248747,0,0,1,Black,5,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1/2/15,16:01,1/2/15 16:01,1420214460,144060,40.8493982,-73.916999,1007213,248747,0,0,1,Hispanic,5,20,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1/2/15,16:01,1/2/15 16:01,1420214460,144060,40.8493982,-73.916999,1007213,248747,0,0,,Black,5,18,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1/2/15,16:08,1/2/15 16:08,1420214880,144480,40.6288077,-73.996945,985098,168368,0,0,1,Hispanic,9,35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,17:00,1/2/15 17:00,1420218000,147600,40.8263971,-73.8903073,1014608,240375,0,0,0,Black,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,17:00,1/2/15 17:00,1420218000,147600,40.8263971,-73.8903073,1014608,240375,0,0,1,Black,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,17:00,1/2/15 17:00,1420218000,147600,40.8263971,-73.8903073,1014608,240375,0,0,1,Black,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,18:05,1/2/15 18:05,1420221900,151500,40.7497718,-73.9877794,987636,212439,1,1,1,Black,30,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/2/15,18:20,1/2/15 18:20,1420222800,152400,,,,,0,0,1,White,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,18:59,1/2/15 18:59,1420225140,154740,40.7963012,-73.9382838,1001338,229397,0,0,1,Black,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,18:59,1/2/15 18:59,1420225140,154740,40.7963012,-73.9382838,1001338,229397,0,0,1,Black,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,19:00,1/2/15 19:00,1420225200,154800,40.836946,-73.9401036,1000824,244205,0,0,1,Hispanic,2,29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Black,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Black,1,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Black,1,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Black,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Black,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Hispanic,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:00,1/2/15 20:00,1420228800,158400,40.6676232,-73.8635836,1022094,182539,0,0,1,Hispanic,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:05,1/2/15 20:05,1420229100,158700,40.5944721,-74.0682199,965304,155866,0,0,0,Black,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,20:10,1/2/15 20:10,1420229400,159000,40.799931,-73.9406643,1000678,230719,0,0,0,Hispanic,20,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
